id,perturbation_spread,flip_rate,text_length,n_valid,mean_cosine,mean_jaccard_dist
A01175,0.434515177955223,0.6,2314,5,0.9721583604812623,0.6023853144583337
A01176,0.06373143042885798,0.0,774,5,0.9397847652435303,0.6866672953761552
A01177,4.2827169969496255e-06,0.0,872,5,0.9445364594459533,0.677092758591255
A01178,0.3316864781371782,0.2,1308,5,0.9664563775062561,0.5578966541290067
A01179,0.007169103914355446,0.0,1658,5,0.9763542175292969,0.6588000492887209
A01180,0.37239155232547266,1.0,2400,5,0.9838455796241761,0.6180822859031083
A01181,0.1352456724988517,0.0,920,5,0.9417127251625061,0.8170290863756193
A01182,6.65478176592124e-05,0.0,970,5,0.9613916635513305,0.6308178585185694
A01183,0.3577265281459797,1.0,617,5,0.9750481128692627,0.7070676180652151
A01184,0.4145512597956335,0.6,851,5,0.9608285427093506,0.6336508200860429
A01185,0.008161122154309072,0.0,755,5,0.9528424382209778,0.7178498138617779
A01186,0.057072576838550756,0.0,195,5,0.9146554112434387,0.6003276003276004
A01187,0.046481273728252906,0.0,1707,4,0.8920025825500488,0.7704141998723766
A01188,0.00402547589078456,0.0,708,5,0.8894947171211243,0.8260753622950847
A01189,0.009051001377692498,0.0,1412,5,0.9157431244850158,0.7486472199158324
A01190,0.010057154021596643,0.0,1350,5,0.9544349074363708,0.6822130055261721
A01191,0.2646082077672777,0.2,1664,5,0.9034602642059326,0.7517382373643742
A01192,0.38502880131088135,0.8,501,5,0.8283216238021851,0.8116741361178645
A01193,0.012159471211167706,0.0,822,5,0.9157473921775818,0.7301186823685033
A01194,0.00048795773766844376,0.0,573,5,0.8590938806533813,0.7844253523152604
A01195,0.3960889204809127,0.8,1899,5,0.9190481185913086,0.7338921720045674
A01196,0.3229666830830515,1.0,1516,5,0.9447304606437683,0.7059484799692569
A01197,0.3946425971241262,0.8,763,5,0.8457633137702942,0.7939865730247726
A01198,0.007360021882463068,0.0,2405,5,0.9329264402389527,0.6584789125896987
A01199,0.13527701210548332,0.0,2279,5,0.9529310822486877,0.4582904993502341
A01200,0.5061926087049261,0.8,1726,5,0.9728788495063782,0.6861956601671764
A01201,0.13629401378861306,0.0,1639,5,0.9009511828422546,0.7640057171283088
A01202,0.15024120694585671,0.0,2422,5,0.9490163207054139,0.6778826988618754
A01203,0.015262262934468078,0.0,1133,5,0.9211284041404724,0.7444225909671193
A01204,0.1262771805248679,0.0,2602,5,0.9502076387405396,0.5968466674304765
A01205,0.13622701380651217,0.0,2262,5,0.9375905871391297,0.6463838277320022
